TripID,StartDate,StartTime,EndDate,EndTime,TripDuration,TripDistance,StartLatitude,StartLongitude,EndLatitude,EndLongitude,DayOfWeek,HourNum
2cf31b80-1efb-50fa-9137-6be6497e2486,2/2/2020,9:30,2/2/2020,9:45,5,0.43,38.256,-85.764,38.26,-85.767,1,9
90ef4ffd-c5c5-5d9c-a28c-3caa6560f41e,2/2/2020,9:30,2/2/2020,9:45,7,0.761,38.251,-85.757,38.257,-85.757,1,9
f1d9902f-109d-5bf6-a187-efa960a3fad1,2/2/2020,9:45,2/2/2020,9:45,5,0.58,38.236,-85.756,38.235,-85.766,1,9
956b12eb-fcb1-56a8-8f95-19b8d817a18a,2/2/2020,9:45,2/2/2020,9:45,2,0.01,38.25,-85.755,38.25,-85.756,1,9
1e3df8e6-bb25-5619-bfd8-510dfea7f907,2/2/2020,10:00,2/2/2020,10:30,23,0.221,38.257,-85.757,38.257,-85.755,1,10
2d8af1c4-294a-57b6-831a-e84f40e31f90,2/2/2020,10:15,2/2/2020,10:15,3,0.123,38.254,-85.75,38.254,-85.749,1,10
b51a5c67-b494-53e1-af57-5a69b768e840,2/2/2020,10:15,2/2/2020,10:30,15,3.566,38.251,-85.761,38.243,-85.759,1,10
10b041b4-35ab-5aff-b1ff-15b50f58a73f,2/2/2020,10:15,2/2/2020,10:15,5,0.065,38.214,-85.752,38.214,-85.751,1,10
95524c68-631f-524f-a53b-cf1b709829d8,2/2/2020,10:30,2/2/2020,10:45,12,0.582,38.251,-85.758,38.249,-85.756,1,10
ab1531cc-e415-5279-985f-8ccfbd9a1154,2/2/2020,10:30,2/2/2020,10:45,3,0.233,38.254,-85.749,38.253,-85.751,1,10
6d098be6-da3e-51b8-a71b-e93908c5869b,2/2/2020,10:45,2/2/2020,10:45,3,0.56,38.254,-85.749,38.253,-85.751,1,10
8128fee9-2ecd-5329-85c2-9d7b10205bd3,2/2/2020,10:45,2/2/2020,11:00,16,1.708,38.258,-85.766,38.255,-85.764,1,10
2e3734f9-d3f4-5487-90a0-37cb19ecf67c,2/2/2020,11:00,2/2/2020,11:45,49,1.14,38.255,-85.744,38.257,-85.764,1,11
0bcd41d4-6720-5315-9077-d7602b1bcc3f,2/2/2020,11:00,2/2/2020,11:00,6,0.885,38.255,-85.748,38.259,-85.759,1,10
21db76c3-a2af-5148-990c-c0b4d2f8ac72,2/2/2020,11:00,2/2/2020,12:45,99,3.57,38.253,-85.743,38.261,-85.737,1,11
3b872e26-b855-529e-8be3-f34595ac9daf,2/2/2020,11:15,2/2/2020,11:45,31,2.691,38.217,-85.762,38.207,-85.777,1,11
6093f9c6-60ef-5d28-9bea-3cc6dd6a3a38,2/2/2020,11:30,2/2/2020,11:30,3,0.506,38.234,-85.766,38.233,-85.759,1,11
b6d0a70f-8539-5c63-bd94-0e76347e4660,2/2/2020,11:30,2/2/2020,11:30,9,1.442,38.261,-85.744,38.255,-85.758,1,11
0faf0daa-4e6a-5d52-a637-88f64b2943db,2/2/2020,11:30,2/2/2020,14:30,174,4.65,38.248,-85.731,38.225,-85.681,1,11
630f06e1-981a-5070-8554-693097f76b12,2/2/2020,11:30,2/2/2020,11:30,4,0.541,38.247,-85.739,38.248,-85.731,1,11
3118a592-fee6-5e41-a363-fe600d2484d9,2/2/2020,11:30,2/2/2020,11:45,4,0.621,38.217,-85.762,38.216,-85.757,1,11
10b2e74b-8f94-5508-8ad1-98ea1cb4eee9,2/2/2020,11:30,2/2/2020,11:30,6,0.557,38.258,-85.76,38.257,-85.763,1,11
11746f4f-2fb5-5457-867a-b295d8eb7cc8,2/2/2020,11:45,2/2/2020,12:45,65,7.11,38.258,-85.758,38.253,-85.762,1,11
61eb558d-d611-5bc6-a7b2-d4b8208ea049,2/2/2020,11:45,2/2/2020,11:45,3,0.731,38.218,-85.763,38.22,-85.759,1,11
510b185b-783c-59e8-9cbb-f03275834a90,2/2/2020,12:00,2/2/2020,12:00,2,0.14,38.215,-85.749,38.213,-85.747,1,11
a395ed52-630f-504d-b3dc-9cc9ba99b29b,2/2/2020,12:00,2/2/2020,12:15,15,0.101,38.249,-85.731,38.248,-85.73,1,12
2a5b2e82-6005-519e-900c-ac1465472016,2/2/2020,12:15,2/2/2020,12:45,23,2.088,38.254,-85.764,38.259,-85.739,1,12
b5d03fd5-e8ad-52ec-9e3e-2178d173ffd2,2/2/2020,12:45,2/2/2020,12:45,4,0.412,38.256,-85.764,38.253,-85.758,1,12
fa52608e-6d03-521c-8eb1-612ae0519291,2/2/2020,12:45,2/2/2020,12:45,4,0.396,38.219,-85.759,38.213,-85.762,1,12
b05a892f-7b36-5b4f-adda-318d2bb9d51c,2/2/2020,12:45,2/2/2020,13:15,27,3.45,38.256,-85.748,38.253,-85.745,1,12
305f390f-f624-5ede-ae8a-f8bbbb8f68a5,2/2/2020,12:45,2/2/2020,13:00,20,0.635,38.263,-85.737,38.271,-85.742,1,12
476acd69-1e7d-59cc-8e56-da8d6d9fd721,2/2/2020,12:45,2/2/2020,13:00,21,2.291,38.263,-85.737,38.271,-85.742,1,12
929fb48a-169d-50ab-843e-40acbf37cf42,2/2/2020,12:45,2/2/2020,13:15,31,1.482,38.254,-85.741,38.262,-85.738,1,12
18962da7-3c85-5d1c-b6ac-e3e69c7a40bd,2/2/2020,12:45,2/2/2020,13:00,6,0.613,38.257,-85.763,38.257,-85.756,1,12
0f3454b2-7a47-5959-b657-c8af7c9355f7,2/2/2020,12:45,2/2/2020,13:15,26,1.849,38.253,-85.736,38.256,-85.752,1,12
